"Country","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Afghanistan","AFG","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.44000005722046","","1.88999998569489","1.54999995231628","1.72000002861023","1.94000005722046","2.36999988555908","",
"Algeria","DZA","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.98000001907349","","5.94999980926514","4.96999979019165","","","","","","","","","4.1100001335144","4.21999979019165","","",
"American Samoa","ASM","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.17000007629395","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.67000007629395","4.6100001335144","4.57000017166138","4.48999977111816","4.78999996185303","4.42000007629395","3.76999998092651","3.76999998092651","4.13000011444092","4.1100001335144","4.13000011444092","","4.57999992370605","4.26000022888184","4.96999979019165","4.63000011444092","4.1399998664856","4.26000022888184","3.78999996185303","","",
"Armenia","ARM","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.519999980926514","","","","","","0.529999971389771","0.409999996423721","0.540000021457672","0.519999980926514","0.639999985694885","0.540000021457672","0.46000000834465","","0.910000026226044","",
"Aruba","ABW","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.78999996185303","","","9.38000011444092","","","2.58999991416931","","","5.92000007629395","","","","","","","4.48999977111816","","","5.6399998664856","","","","","","",
