"Country","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","y1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","y1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","y2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","y2015","y2016",
"Afghanistan","AFG","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","",
"Albania","ALB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7888","7868.5","7849","7829.5","7810","7790.5","7771","7751.5","7732","7712.5","7693","7719.2","7745.4","7771.6","7797.8","7824","7811.8","7799.6","7787.4","7775.2","7763","7753.4","7743.8","7734.2","7724.6","7715","",
"Algeria","DZA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16670","16582","16494","16406","16318","16230","16142","16054","15966","15878","15790","15704","15618","15532","15446","15360","16124","16888","17652","18416","19180","19256","19332","19408","19484","19560","",
"American Samoa","ASM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","183.9","183.5","183.2","182.9","182.5","182.2","181.9","181.5","181.2","180.8","180.5","180.2","179.8","179.5","179.1","178.8","178.5","178.1","177.8","177.5","177.1","176.8","176.4","176.1","175.8","175.4","",
"Andorra","AND","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","",
"Angola","AGO","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","609760","608512","607264","606016","604768","603520","602272","601024","599776","598528","597280","596032","594784","593536","592288","591040","589792","588544","587296","586048","584800","583552","582304","581056","579808","578560","",
"Antigua and Barbuda","ATG","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103","102.7","102.4","102.1","101.8","101.5","101.2","100.9","100.6","100.3","100","99.6","99.2","98.8","98.4","98","98","98","98","98","98","98","98","98","98","98","",
"Argentina","ARG","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","347930","344997","342064","339131","336198","333265","330332","327399","324466","321533","318600","315252","311904","308556","305208","301860","298680","295500","292320","289140","285960","282992","280024","277056","274088","271120","",
"Armenia","ARM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3350","3346","3346","3344","3342","3340","3338","3336","3334","3332","3330","3328","3326","3324","3322","3320","3318","3316","3314","3312","3310","3312","3314","3316","3318","3320","",
"Aruba","ABW","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","",
"Australia","AUS","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1285410","1285710","1286010","1286310","1286610","1286910","1287210","1287510","1287810","1288110","1288410","1286010","1283610","1281210","1278810","1276410","1267550","1258690","1249830","1240970","1232110","1235190","1238270","1241350","1244430","1247510","",
"Austria","AUT","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37760","37822","37884","37946","38008","38070","38132","38194","38256","38318","38380","38406","38432","38458","38484","38510","38528","38546","38564","38582","38600","38618","38636","38654","38672","38690","",
"Azerbaijan","AZE","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8520","8558","8558","8578","8598","8618","8638","8658","8678","8698","8718","8728.8","8739.6","8750.4","8761.2","8772","9034.2","9296.4","9558.6","9820.8","10083","10345.2","10607.4","10869.6","11131.8","11394","",
"Bahamas, The","BHS","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","",
"Bahrain","BHR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","2.3","2.5","2.6","2.8","2.9","3.1","3.2","3.4","3.6","3.7","3.9","4","4.2","4.3","4.5","4.6","4.8","4.9","5.1","5.3","5.4","5.6","5.7","5.9","6","",
"Bangladesh","BGD","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14940","14914","14888","14862","14836","14810","14784","14758","14732","14706","14680","14654","14628","14602","14576","14550","14524","14498","14472","14446","14420","14394","14368","14342","14316","14290","",
"Barbados","BRB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","",
