"Country Code","NumberThrSpecies","Total"
AF,"90","1059"
AX,"0","28"
AL,"243","1798"
DZ,"248","1694"
AD,"38","471"
AS,"189","1346"
AI,"86","1243"
AM,"162","891"
AR,"429","3067"
AQ,"27","169"
AW,"58","1139"
AG,"99","1430"
AO,"240","3318"
AZ,"151","1008"
AT,"237","1746"
BD,"253","2149"
BB,"99","1452"
BS,"159","1974"
BH,"107","764"
AU,"1451","7528"
BT,"163","1284"
BZ,"195","2365"
BE,"114","1380"
BM,"123","1194"
BJ,"160","2211"
BO,"368","3108"
BY,"72","841"
BA,"183","1513"
BR,"1314","6871"
IO,"195","1124"
BW,"70","1357"
BV,"11","70"
BQ,"89","1302"
BF,"65","1047"
CA,"293","3235"
KH,"452","2841"
BG,"214","1797"
CM,"980","4309"
CV,"166","1227"
BI,"208","1564"
BN,"362","1793"
CN,"1473","7425"
TD,"78","1133"
KY,"124","1369"
CF,"102","1745"
CX,"79","927"
CC,"64","804"
CL,"320","1885"
CK,"152","1102"
CD,"543","5069"
CO,"1145","7043"
CR,"492","4098"
CG,"201","2614"
KM,"237","1519"
CZ,"147","1419"
HR,"316","2141"
CY,"156","1147"
CU,"448","2447"
CW,"80","1192"
CI,"399","2839"
DO,"261","1884"
DM,"107","1478"
DK,"127","1329"
DJ,"240","1603"
EG,"338","2382"
SV,"148","1931"
EC,"2900","7350"
GQ,"244","2116"
FK,"57","360"
EE,"63","864"
ET,"216","2105"
FJ,"485","2357"
FO,"46","556"
ER,"280","1905"
FI,"98","1134"
GF,"128","2276"
FR,"534","3574"
DE,"269","1958"
PF,"344","1724"
GM,"132","1929"
GE,"181","1094"
TF,"54","728"
GA,"357","2876"
GI,"76","765"
GP,"126","1452"
GL,"53","525"
GR,"710","3169"
GU,"206","1377"
GD,"87","1381"
GH,"359","2930"
GT,"412","3391"
GG,"8","268"
HM,"20","108"
HT,"284","1808"
GW,"146","1883"
GY,"159","2571"
GN,"332","2691"
VA,"5","44"
IS,"67","760"
HU,"169","1406"
HK,"116","1080"
HN,"420","3573"
IN,"1485","7207"
IM,"4","163"
IR,"267","2221"
IE,"114","1408"
IQ,"154","1260"
IL,"377","2276"
ID,"1995","8864"
KZ,"130","1224"
JM,"398","2056"
JO,"267","1659"
JE,"8","279"
IT,"681","3467"
JP,"763","4593"
KW,"125","867"
KG,"78","718"
KI,"245","1405"
KR,"183","1640"
KP,"132","1092"
LA,"343","2416"
LV,"78","941"
KE,"787","4657"
LB,"169","1280"
LS,"52","581"
LI,"36","697"
LT,"63","879"
MO,"15","201"
LR,"295","2367"
LU,"54","830"
LY,"116","1076"
MK,"196","1302"
MG,"1962","4927"
MW,"227","1971"
MT,"93","982"
MV,"180","1455"
ML,"89","1310"
MY,"1802","6456"
YT,"206","1263"
MU,"446","1924"
MQ,"88","1341"
MR,"153","1803"
MH,"236","1492"
FM,"335","1954"
MX,"1550","7586"
MN,"75","845"
MD,"67","714"
MC,"40","495"
MA,"372","2388"
MS,"87","1260"
ME,"207","1634"
MZ,"538","3926"
NR,"207","1154"
NC,"845","3144"
NP,"185","2007"
NA,"187","2359"
NL,"118","1431"
MM,"626","4496"
NF,"91","630"
NE,"72","1006"
NZ,"339","1688"
NU,"115","930"
NG,"486","3506"
NI,"239","3350"
MP,"205","1423"
PS,"66","643"
OM,"230","1848"
PW,"354","2153"
PA,"547","4428"
NO,"146","1363"
PK,"274","2155"
PN,"81","554"
PL,"155","1487"
PY,"122","1387"
PE,"941","5437"
PG,"822","4981"
PH,"1167","5204"
PT,"525","3045"
QA,"109","750"
PR,"201","1884"
RO,"215","1719"
RU,"400","2927"
RW,"147","1438"
RE,"260","1488"
SH,"174","814"
MF,"77","1125"
BL,"43","766"
LC,"105","1428"
KN,"88","1342"
PM,"35","565"
SM,"9","107"
SA,"299","2023"
RS,"157","1468"
VC,"98","1429"
WS,"196","1494"
SN,"212","2469"
SC,"626","2226"
ST,"120","1026"
SI,"243","1865"
SK,"153","1307"
SL,"298","2497"
SX,"79","1118"
SG,"553","2597"
SB,"465","2644"
SO,"363","2817"
GS,"24","210"
SS,"81","1389"
SD,"289","2695"
LK,"830","3217"
ZA,"874","4746"
ES,"1051","4595"
SJ,"35","229"
SY,"217","1429"
SZ,"74","1042"
SR,"143","2352"
CH,"175","1563"
SE,"140","1425"
TJ,"77","718"
TW,"594","3732"
TK,"121","924"
TL,"63","1170"
TG,"150","2248"
TO,"174","1516"
TH,"1042","5790"
TZ,"1512","6107"
TN,"198","1425"
TT,"169","2149"
TR,"549","2706"
TM,"94","851"
TC,"101","1307"
TV,"229","1221"
UG,"312","2684"
UA,"196","1634"
UZ,"100","801"
AE,"149","1194"
UM,"169","1275"
GB,"231","2004"
UY,"165","1260"
US,"2379","10004"
VI,"102","1413"
WF,"196","1285"
VU,"293","2005"
VG,"103","1399"
VE,"474","4649"
EH,"94","1101"
VN,"938","5169"
YE,"501","2622"
ZM,"160","2379"
ZW,"151","1863"
