"Country","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Afghanistan","AFG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.47000026702881","","","","","","8.22999954223633","","","","","",
"Albania","ALB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","5.59999990463257","5.09999990463257","3.59999990463257","4.40000009536743","5.69999980926514","6.69999980926514","6.40000009536743","6.09999990463257","7","7.30000019073486","9.5","9.10000038146973","26.5","22.2999992370605","18.3999996185303","12.8999996185303","12.3000001907349","14.8999996185303","17.7000007629395","18.3999996185303","16.7999992370605","16.3999996185303","15.8000001907349","15","14.3999996185303","14.1000003814697","13.8000001907349","13.5","13.0500001907349","13.7600002288818","14.1999998092651","13.9799995422363","13.4399995803833","15.6400003433228","17.4899997711182","17.0799999237061","",
"Algeria","DZA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8999996185303","19.7999992370605","20.6000003814697","23","23.2000007629395","24.3999996185303","27.8999996185303","","25.4300003051758","","","29.7700004577637","27.2999992370605","25.8999996185303","23.7199993133545","17.6499996185303","15.2700004577637","12.2700004577637","13.789999961853","11.3299999237061","10.1599998474121","9.96000003814697","9.96000003814697","10.9700002670288","9.81999969482422","10.6000003814697","","",
"American Samoa","ASM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","12.1999998092651","13.3999996185303","19.0799999237061","14.8699998855591","15.1999998092651","14.3500003814697","12.4099998474121","10.6000003814697","12.7799997329712","12.960000038147","13.1099996566772","12.5","13.3800001144409","","","","5.1100001335144","","","","","","","","","","5.05000019073486","","","","","9.97999954223633","","","","","9.19999980926514","","","","","","",
"Andorra","AND","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","14.1999998092651","14.8999996185303","18.8999996185303","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","20.4599990844727","19.4599990844727","19.4500007629395","20.6900005340576","","","","","","","","","","","","","","","","","","","","","","","","","8.42000007629395","","","","","","","","","","","","","","","",
"Argentina","ARG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","4.80000019073486","6","6.59999990463257","5.59999990463257","3.40000009536743","2.29999995231628","4.5","2.79999995231628","2.79999995231628","2","2.29999995231628","4.5","4.73000001907349","4.17000007629395","3.65000009536743","5.30000019073486","4.40000009536743","5.30000019073486","6","7.30000019073486","7.05999994277954","6.32000017166138","6.3600001335144","10.1000003814697","11.9499998092651","6.67999982833862","17.2000007629395","14.8900003433228","12.6899995803833","14.1000003814697","15.0200004577637","17.3500003814697","19.6100006103516","16.0300006866455","12.6300001144409","10.6000003814697","9.44999980926514","8.47000026702881","7.8899998664856","9.09000015258789","7.38000011444092","7.05000019073486","7.34000015258789","6.6100001335144","7.01999998092651","","",
"Armenia","ARM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.79999995231628","5.30000019073486","6.59999990463257","6.69999980926514","9.30000019073486","10.8000001907349","9.39999961853027","11.1999998092651","","35.8199996948242","","10.1000003814697","9.60000038146973","8.19999980926514","7.5","28.3400001525879","28.6000003814697","18.7399997711182","19.0100002288818","21.6299991607666","17.3099994659424","16.1800003051758","17.6000003814697","18.5100002288818","",
"Aruba","ABW","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.07999992370605","","","6.44999980926514","","","7.44999980926514","","","6.92000007629395","6.90000009536743","","","","","","5.71000003814697","","","10.6000003814697","8.89999961853027","","","","","",
